StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participation,gender,age,"education ",occupation,city_size,license,duration_license,car_ownership,car_type,km_per year,frequency,companionship,preferences_mobility_1,preferences_mobility_2,preferences_mobility_3,preferences_mobility_8,preferences_mobility_4,preferences_mobility_5,preferences_mobility_6,preferences_mobility_7,preferences_mobility_7_TEXT,prior_knowledge,experience,evaluation_1,evaluation_2,evaluation_3,evaluation_4,evaluation_why_1,evaluation_why_2,evaluation_why_3,evaluation_why_4,evaluation_why_5,evaluation_why_6,evaluation_why_not_1,evaluation_why_not_2,evaluation_why_not_3,evaluation_why_not_4,evaluation_why_not_5,car_choice,concern_destination,impact_destination,probability_goal,concern_charging,impact_charging,probability_charging,concern_charge_time,impact_charge_time,prob_charge_time,concern_accident,impact_accident,prob_accident,concern_price,impact_price,prob_price,concern_support,impact_support,prob_support,worry_ev_1,worry_ev_2,worry_ev_3,worry_ev_4,worry_ev_5,worry_ev_6,worry_ev_6_TEXT,control_question,control_reading_n,control_neutral,driving_climate_1,driving_climate_2,driving_climate_3,driving_climate_4,personality_1,personality_2,personality_3,personality_2_1,personality_2_2,personality_2_3,personality_2_4,tech_interaction_1,tech_interaction_2,tech_interaction_3,tech_interaction_4,tech_interaction_5,tech_interaction_6,tech_interaction_7,tech_interaction_8,tech_interaction_9,concern_destination,impact_destination,prob_destination,concern_charging,impact_charging,prob_charging,concern_charge_time,impact_charge_time,prob_charge_time,concern_accident,impact_accident,prob_accident,concern_price,impact_price,prob_price,concern_support,impact_support,prob_support,worry_ev_1,worry_ev_2,worry_ev_3,worry_ev_4,worry_ev_5,worry_ev_6,worry_ev_6_TEXT,SC0,diggi
Anfangsdatum,Enddatum,Antworttyp,IP-Adresse,Aktueller Stand,Dauer (in Sekunden),Beendet,Erfassungsdatum,Antwort-ID,Nachname des Empfängers,Vorname des Empfängers,E-Mail des Empfängers,Externe Datenreferenz,Breitengrad des Standorts,Längengrad des Standorts,Verteilungskanal,Benutzersprache,Bitte treffen Sie eine Wahl.,Welchem Geschlecht fühlen Sie sich zugehörig?,Bitte geben Sie Ihr Alter in Jahren an.,Bitte geben Sie Ihren höchsten Bildungsabschluss an.,Was trifft derzeit überwiegend auf Sie zu?,Bitte geben Sie die Größe Ihres aktuellen Wohnortes an.,Ich besitze...,Seit wann besitzen Sie Ihren PKW-Führerschein?,Besitzen Sie ein Auto?,Bei meinem Auto / meinen Autos handelt es sich um...,Wie viele Kilometer fahren Sie selbst als Fahrer:in im Jahr mit dem Auto?,Wie oft sind Sie Fahrer:in eines Autos?,Fahren Sie eher alleine oder eher in Begleitung von anderen Personen?,"Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Auto mit Verbrennungsmotor","Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - E-Auto","Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Fahrrad","Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - E-Bike","Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - ÖPNV","Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Auto mit Brennstoffzelle (Wasserstoffantrieb)","Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Hybrid-Auto","Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Anderes Fortbewegungsmittel","Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Anderes Fortbewegungsmittel – Text",Wie schätzen Sie Ihr Vorwissen zu E-Autos ein?,Welche Erfahrungen mit E-Autos haben Sie bereits gemacht?,Ich halte die Nutzung eines E-Autos für ...? - sinnvoll,Ich halte die Nutzung eines E-Autos für ...? - vorteilhaft,Ich halte die Nutzung eines E-Autos für ...? - riskant,Ich halte die Nutzung eines E-Autos für ...? - bedrohlich,"Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... E-Mobilität umweltfreundlicher ist.","Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... es langfristig gesehen kostensparender ist.","Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... Fahrgeräusche reduziert werden.","Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... die neueste Technologie verwendet wird.","Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... E-Mobilität die Zukunft ist.","Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - Ich würde kein E-Auto fahren.","Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... ich die Betankung (das Aufladen) nicht planen möchte.","Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... die Technologie noch nicht ausgereift ist.","Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... Elektromobilität nicht vertrauenswürdig ist.","Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... der Strom, der für Elektromobilität genutzt wird, meist aus atomarem Strom bezogen wird.","Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... E-Autos durchschnittlich teurer sind als Verbrenner-Autos.","Wenn ich mir jetzt ein Auto kaufen würde, dann würde ich","Wie besorgt sind Sie, wenn überhaupt, das Ziel nicht erreichen zu können?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie Ihr Ziel nicht erreichen könnten?","Für wie wahrscheinlich halten Sie es, Ihr Ziel nicht erreichen zu können?","Wie besorgt sind Sie, wenn überhaupt, dass es auf Ihrer Strecke keine Möglichkeit gibt, das Elektroauto laden zu können?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie das Auto auf der Strecke nicht laden könnten?","Für wie wahrscheinlich halten Sie es, das Auto auf der Strecke nicht laden zu können?","Wie besorgt sind Sie, wenn überhaupt, dass die Ladezeit Ihres Elektroautos auf Ihrer Strecke dazu führen könnte, dass Sie länger brauchen, um Ihr Ziel zu erreichen?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund der Ladezeit Ihres Elektroautos länger brauchen, um Ihr Ziel zu erreichen?","Für wie wahrscheinlich halten Sie es, aufgrund der Ladezeit Ihres Elektroautos länger zu brauchen, um Ihr Ziel zu erreichen?","Wie besorgt sind Sie, wenn überhaupt, darüber, einen Unfall zu verursachen aufgrund von Schäden der Batterie?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund von Schäden der Batterie einen Unfall verursachen würden?","Für wie wahrscheinlich halten Sie es, einen Unfall zu verursachen aufgrund von Schäden der Batterie?","Wie besorgt sind Sie, wenn überhaupt, sich keinen Neuwagen (Elektroauto) mehr leisten zu können?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie sich aufgrund von zu hohen Kosten kein Elektroauto kaufen können?","Für wie wahrscheinlich halten Sie es, sich aufgrund der hohen Kosten kein Elektroauto kaufen zu können?","Wie besorgt sind Sie, wenn überhaupt, dass Sie der Staat bei der Anschaffung eines Neuwagens (Elektroauto) nicht finanziell unterstützt?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund ausbleibender Subventionen kein Elektroauto erwerben könnten?","Für wie wahrscheinlich halten Sie es, aufgrund ausbleibender Subventionen kein Elektroauto erwerben zu können?",Was ist Ihre größte Sorge bezüglich Elektroautos? - Kosten,Was ist Ihre größte Sorge bezüglich Elektroautos? - Batteriereichweite,Was ist Ihre größte Sorge bezüglich Elektroautos? - Ladeinfrastruktur,Was ist Ihre größte Sorge bezüglich Elektroautos? - Sicherheit,Was ist Ihre größte Sorge bezüglich Elektroautos? - Ladezeit,Was ist Ihre größte Sorge bezüglich Elektroautos? - Andere Sorge:,Was ist Ihre größte Sorge bezüglich Elektroautos? - Andere Sorge: – Text,Ich habe den Text aufmerksam gelesen.,Ich habe den Text aufmerksam gelesen.,Bearbeiten Sie den Fragebogen noch aufmerksam?,Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der ansteigende Autoverkehr ist ein großes Problem für den Umweltschutz.,Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Anteil des Autoverkehrs an der Umweltzerstörung wird von den Medien unnötig hochgespielt.,"Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Ich mache mir Sorgen, wenn ich an die Umweltzerstörung durch das Autofahren denke.",Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Autoverkehr bereitet mir hinsichtlich der möglichen Umweltauswirkungen keine ernsthaften Sorgen.,"Sie sind nun im letzten Teil des Fragebogens angelangt. Am Ende möchten wir noch etwas über Ihre persönlichen Einstellungen gegenüber E-Autos erfahren. - Ich fühle mich ängstlich, wenn ich mir vorstelle ein E-Auto zu benutzen.",Sie sind nun im letzten Teil des Fragebogens angelangt. Am Ende möchten wir noch etwas über Ihre persönlichen Einstellungen gegenüber E-Autos erfahren. - E-Autos regen mich auf.,"Sie sind nun im letzten Teil des Fragebogens angelangt. Am Ende möchten wir noch etwas über Ihre persönlichen Einstellungen gegenüber E-Autos erfahren. - Ich denke, die meisten Leute können ein E-Auto besser bedienen als ich.","Bitte kreuzen Sie an, wie Sie Ihre Persönlichkeit einschätzen. - Ich bin eher zurückhaltend, reserviert.","Bitte kreuzen Sie an, wie Sie Ihre Persönlichkeit einschätzen. - Ich schenke anderen leicht Vertrauen, glaube an das Gute im Menschen.","Bitte kreuzen Sie an, wie Sie Ihre Persönlichkeit einschätzen. - Ich bin entspannt, lasse mich durch Stress nicht leicht aus der Ruhe bringen.","Bitte kreuzen Sie an, wie Sie Ihre Persönlichkeit einschätzen. - Ich werde leicht nervös und unsicher.","Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich beschäftige mich gern genauer mit technischen Systemen.","Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.","Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.","Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.","Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.","Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.","Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich versuche zu verstehen, wie ein technisches System genau funktioniert.","Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.","Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.","Wie besorgt sind Sie, wenn überhaupt, das Ziel nicht erreichen zu können?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie Ihr Ziel nicht erreichen könnten?","Für wie wahrscheinlich halten Sie es, Ihr Ziel nicht erreichen zu können?","Wie besorgt sind Sie, wenn überhaupt, dass es auf Ihrer Strecke keine Möglichkeit gibt, das Elektroauto laden zu können?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie das Auto auf der Strecke nicht laden könnten?","Für wie wahrscheinlich halten Sie es, das Auto auf der Strecke nicht laden zu können?","Wie besorgt sind Sie, wenn überhaupt, dass die Ladezeit Ihres Elektroautos auf Ihrer Strecke dazu führen könnte, dass Sie länger brauchen, um Ihr Ziel zu erreichen?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund der Ladezeit Ihres Elektroautos länger brauchen, um Ihr Ziel zu erreichen?","Für wie wahrscheinlich halten Sie es, aufgrund der Ladezeit Ihres Elektroautos länger zu brauchen, um Ihr Ziel zu erreichen?","Wie besorgt sind Sie, wenn überhaupt, darüber, einen Unfall zu verursachen aufgrund von Schäden der Batterie?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund von Schäden der Batterie einen Unfall verursachen würden?","Für wie wahrscheinlich halten Sie es, einen Unfall zu verursachen aufgrund von Schäden der Batterie?","Wie besorgt sind Sie, wenn überhaupt, sich keinen Neuwagen (Elektroauto) mehr leisten zu können?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie sich aufgrund von zu hohen Kosten kein Elektroauto kaufen können?","Für wie wahrscheinlich halten Sie es, sich aufgrund der hohen Kosten kein Elektroauto kaufen zu können?","Wie besorgt sind Sie, wenn überhaupt, dass Sie der Staat bei der Anschaffung eines Neuwagens (Elektroauto) nicht finanziell unterstützt?","Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund ausbleibender Subventionen kein Elektroauto erwerben könnten?","Für wie wahrscheinlich halten Sie es, aufgrund ausbleibender Subventionen kein Elektroauto erwerben zu können?",Was ist Ihre größte Sorge bezüglich Elektroautos? - Kosten,Was ist Ihre größte Sorge bezüglich Elektroautos? - Batteriereichweite,Was ist Ihre größte Sorge bezüglich Elektroautos? - Ladeinfrastruktur,Was ist Ihre größte Sorge bezüglich Elektroautos? - Sicherheit,Was ist Ihre größte Sorge bezüglich Elektroautos? - Ladezeit,Was ist Ihre größte Sorge bezüglich Elektroautos? - Andere Sorge:,Was ist Ihre größte Sorge bezüglich Elektroautos? - Andere Sorge: – Text,Score,diggi
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID31""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID104""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_7_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID105""}","{""ImportId"":""QID49""}","{""ImportId"":""QID53""}","{""ImportId"":""QID63""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID113""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID65""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID66""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID67""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID114""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID47_4""}","{""ImportId"":""QID47_5""}","{""ImportId"":""QID47_6""}","{""ImportId"":""QID47_6_TEXT""}","{""ImportId"":""QID109""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID111_2""}","{""ImportId"":""QID111_3""}","{""ImportId"":""QID111_4""}","{""ImportId"":""QID111_5""}","{""ImportId"":""QID111_6""}","{""ImportId"":""QID111_7""}","{""ImportId"":""QID111_8""}","{""ImportId"":""QID111_9""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID112""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID115""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID106_2""}","{""ImportId"":""QID106_3""}","{""ImportId"":""QID106_4""}","{""ImportId"":""QID106_5""}","{""ImportId"":""QID106_6""}","{""ImportId"":""QID106_6_TEXT""}","{""ImportId"":""SC_0fixXqgo6qks2LY""}","{""ImportId"":""diggi""}"
2023-06-14 09:52:47,2023-06-14 10:08:22,0,78.48.172.118,100,935,1,2023-06-14 10:08:24,R_1LYe8d828WI02vp,,,,,51.4719,7.0224,anonymous,DE,1,1,26,5,3,4,1,3,1,2,5,1,1,1,4,6,7,5,3,2,8,,3,5,4,4,5,4,5,5,1,2,4,1,1,4,1,3,1,3,2,4,2,5,4,6,4,4,5,4,5,6,4,4,3,3,3,2,4,1,2,5,3,6,,1,,,6,3,4,2,2,2,2,1,4,5,1,4,4,2,3,3,4,4,3,5,2,4,2,5,4,4,4,3,5,5,6,7,4,4,3,2,4,2,4,1,2,5,3,6,,,lw
2023-06-14 10:06:12,2023-06-14 10:20:24,0,91.182.174.179,100,851,1,2023-06-14 10:20:25,R_3VPm5KuL5xKwBLb,,,,,50.6337,5.5675,anonymous,DE,1,1,24,5,3,2,1,3,3,,1,2,2,5,3,7,6,1,4,2,8,,3,5,5,5,2,2,5,4,3,4,5,2,3,3,3,4,4,3,3,3,3,4,4,5,2,2,5,3,4,2,3,3,6,4,3,6,1,4,3,5,2,6,,,,1,5,2,5,2,2,2,1,4,5,5,3,5,5,2,4,4,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,lw
2023-06-14 10:15:44,2023-06-14 10:24:24,0,79.238.98.170,100,519,1,2023-06-14 10:24:25,R_1f9OJZso4xw6Mal,,,,,50.8178,6.2776,anonymous,DE,1,1,23,5,3,4,"1,2",2,1,2,3,2,1,3,4,7,5,6,2,1,8,,2,3,6,2,1,1,5,2,3,3,1,2,5,5,2,4,4,3,1,4,1,3,2,3,2,4,5,2,5,1,4,5,3,1,4,2,4,1,2,5,3,6,,,,1,6,4,5,1,1,1,2,4,6,3,4,5,6,2,4,3,4,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,lw
2023-06-14 10:05:25,2023-06-14 10:24:58,0,146.60.22.225,100,1172,1,2023-06-14 10:24:58,R_3RfKKE9pMn7k942,,,,,51.1621,6.7514,anonymous,DE,1,1,21,4,3,4,1,2,3,,1,4,2,2,1,6,4,5,7,3,8,"Lastenräder ",3,5,6,6,4,4,6,3,4,3,4,3,3,4,3,3,3,5,4,2,2,4,2,3,4,2,3,4,2,2,5,2,3,3,2,2,3,2,4,6,5,1,Batterienmüll,,1,,4,2,5,2,4,3,3,3,5,3,3,1,3,5,4,3,5,3,5,5,4,2,5,4,2,4,4,2,3,4,2,2,4,2,2,3,2,2,3,2,4,6,5,1,Umweltmüll,,lw
2023-06-14 10:10:26,2023-06-14 10:29:02,0,83.135.243.210,100,1115,1,2023-06-14 10:29:02,R_2BaFL6Y0Ni4hoFR,,,,,50.7793,6.2154,anonymous,DE,1,2,22,5,3,4,1,2,1,2,1,3,2,1,4,7,6,5,2,3,8,,2,3,4,3,1,1,2,3,6,5,3,3,2,4,1,1,3,3,1,5,7,3,5,2,5,4,7,2,3,2,4,5,3,4,5,3,4,1,2,5,3,6,,1,,,5,3,3,3,2,1,3,5,4,4,3,5,6,3,4,4,2,5,3,5,1,5,1,2,5,3,5,4,7,2,4,2,5,5,6,4,5,3,4,1,2,5,3,6,,,lw
2023-06-14 10:23:36,2023-06-14 10:34:13,0,89.0.48.206,100,637,1,2023-06-14 10:34:14,R_3JJi9vDrQKRUfci,,,,,50.9446,7.0115,anonymous,DE,1,1,22,4,3,1,1,2,1,2,3,2,1,4,3,7,6,5,2,1,8,,3,3,5,5,3,2,4,4,2,5,4,1,3,4,1,4,6,4,2,3,2,2,6,2,4,3,7,2,4,2,4,6,6,6,6,5,2,5,1,4,3,6,,,1,,5,3,5,1,1,1,4,2,5,4,2,5,6,2,5,5,4,3,3,4,3,4,2,2,5,2,4,3,7,2,4,2,5,6,6,4,5,4,2,5,1,4,3,6,,,lw
2023-06-14 11:24:36,2023-06-14 11:35:40,0,217.249.119.207,100,663,1,2023-06-14 11:35:41,R_2xJJOxodGdhWqH3,,,,,52.1451,7.3424,anonymous,DE,1,2,20,4,3,4,1,2,2,,1,3,2,3,6,5,4,7,1,2,8,,3,3,5,5,3,2,6,6,1,2,1,3,2,5,2,1,6,3,4,3,3,4,3,5,3,2,5,2,6,2,4,2,6,4,4,2,2,1,4,5,3,6,,1,,,2,2,3,5,2,2,1,2,1,3,3,4,6,3,5,3,2,2,2,2,4,4,1,3,5,4,3,4,3,3,3,7,3,2,3,3,2,3,1,2,4,5,3,6,,,lw
2023-06-14 12:45:05,2023-06-14 12:54:44,0,93.233.206.178,100,579,1,2023-06-14 12:54:45,R_1CqqKW8DodWUBWC,,,,,50.7298,6.2061,anonymous,DE,1,1,20,5,3,3,1,2,1,3,4,1,1,8,1,3,2,7,5,4,6,,2,1,6,6,1,1,6,6,6,5,6,1,1,1,1,1,1,1,1,6,1,1,4,1,1,2,3,1,1,1,1,3,1,1,1,1,2,3,5,6,4,1,Absolut keine,,,1,6,1,6,1,1,1,1,4,3,5,2,3,3,4,4,3,5,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,lw
