variable;variable_old;item;text;info
Progress;Progress;NA;Aktueller Stand;"{""ImportId"":""progress""}"
Duration (in seconds);Duration (in seconds);NA;Dauer (in Sekunden);"{""ImportId"":""duration""}"
participation;participation;NA;Bitte treffen Sie eine Wahl.;"{""ImportId"":""QID31""}"
gender;gender;NA;Welchem Geschlecht fühlen Sie sich zugehörig?;"{""ImportId"":""QID2""}"
age;age;NA;Bitte geben Sie Ihr Alter in Jahren an.;"{""ImportId"":""QID4_TEXT""}"
education;education;NA;Bitte geben Sie Ihren höchsten Bildungsabschluss an.;"{""ImportId"":""QID5""}"
occupation;occupation;NA;Was trifft derzeit überwiegend auf Sie zu?;"{""ImportId"":""QID6""}"
city_size;city_size;NA;Bitte geben Sie die Größe Ihres aktuellen Wohnortes an.;"{""ImportId"":""QID8""}"
license;license;NA;Ich besitze...;"{""ImportId"":""QID9""}"
duration_license;duration_license;NA;Seit wann besitzen Sie Ihren PKW-Führerschein?;"{""ImportId"":""QID10""}"
car_ownership;car_ownership;NA;Besitzen Sie ein Auto?;"{""ImportId"":""QID11""}"
car_type;car_type;NA;Bei meinem Auto / meinen Autos handelt es sich um...;"{""ImportId"":""QID12""}"
km_per year;km_per year;NA;Wie viele Kilometer fahren Sie selbst als Fahrer:in im Jahr mit dem Auto?;"{""ImportId"":""QID13""}"
frequency;frequency;NA;Wie oft sind Sie Fahrer:in eines Autos?;"{""ImportId"":""QID104""}"
companionship;companionship;NA;Fahren Sie eher alleine oder eher in Begleitung von anderen Personen?;"{""ImportId"":""QID16""}"
preferences_mobility_1;preferences_mobility_1;Auto mit Verbrennungsmotor;Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Auto mit Verbrennungsmotor;"{""ImportId"":""QID18_1""}"
preferences_mobility_2;preferences_mobility_2;E-Auto;Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - E-Auto;"{""ImportId"":""QID18_2""}"
preferences_mobility_3;preferences_mobility_3;Fahrrad;Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Fahrrad;"{""ImportId"":""QID18_3""}"
preferences_mobility_8;preferences_mobility_8;E-Bike;Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - E-Bike;"{""ImportId"":""QID18_4""}"
preferences_mobility_4;preferences_mobility_4;ÖPNV;Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - ÖPNV;"{""ImportId"":""QID18_5""}"
preferences_mobility_5;preferences_mobility_5;Auto mit Brennstoffzelle (Wasserstoffantrieb);Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Auto mit Brennstoffzelle (Wasserstoffantrieb);"{""ImportId"":""QID18_6""}"
preferences_mobility_6;preferences_mobility_6;Hybrid-Auto;Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Hybrid-Auto;"{""ImportId"":""QID18_7""}"
preferences_mobility_7;preferences_mobility_7;Anderes Fortbewegungsmittel;Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Anderes Fortbewegungsmittel;"{""ImportId"":""QID18_8""}"
preferences_mobility_7_TEXT;preferences_mobility_7_TEXT;Anderes Fortbewegungsmittel – Text;Wenn Ihnen alle folgenden Fortbewegungsmittel zur Verfügung stünden, welche würden Sie am liebsten nutzen? Ordnen Sie die folgenden Fortbewegungsmittel bitte nach Ihrer persönlichen Präferenz in absteigender Reihenfolge (Platz 1 = nutzen Sie am liebsten, Platz 8 = nutzen Sie am wenigsten gern). - Anderes Fortbewegungsmittel – Text;"{""ImportId"":""QID18_7_TEXT""}"
