"","ResponseId","Progress","Duration (in seconds)","participation","gender","age","education","occupation","city_size","license","duration_license","car_ownership","car_type","km_per year","frequency","companionship","preferences_mobility_3","preferences_mobility_1","preferences_mobility_5","preferences_mobility_6","preferences_mobility_7","preferences_mobility_4","preferences_mobility_2","preferences_mobility_8","preferences_mobility_8_TEXT","prior_knowledge","experience","evaluation_1","evaluation_2","evaluation_3","evaluation_4","evaluation_why_1","evaluation_why_2","evaluation_why_3","evaluation_why_4","evaluation_why_5","evaluation_why_6_n","evaluation_why_n_1","evaluation_why_n_2","evaluation_why_n_3","evaluation_why_n_4","evaluation_why_n_5","car_choice","concern_dest","impact_dest","prob_dest","concern_charging","impact_charging","prob_charging_n","concern_time","impact_time","prob_time","concern_accident","impact_accident","prob_accident","concern_price","impact_price","prob_price","concern_support","impact_support","prob_support","worry_ev_1","worry_ev_2","worry_ev_3","worry_ev_4","worry_ev_5","worry_ev_6","worry_ev_6_TEXT","control_question","n_control_reading","control_neutral","driving_climate_1","driving_climate_2_n","driving_climate_3","driving_climate_4_n","ev_attitude_1","ev_attitude_2","ev_attitude_3","personality_1_n","personality_2","personality_3_n","personality_4","tech_interaction_1","tech_interaction_2","tech_interaction_3_n","tech_interaction_4","tech_interaction_5","tech_interaction_6_n","tech_interaction_7","tech_interaction_8_n","tech_interaction_9","2concern_dest","2impact_dest","2prob_dest","2concern_charging","2impact_charging","2prob_charging","2concern_time","2impact_time","2prob_time","2concern_accident","2impact_accident","2prob_accident","2concern_price","2impact_price","2prob_price","2concern_support","2impact_support","2prob_support","2worry_ev_1","2worry_ev_2","2worry_ev_3","2worry_ev_4","2worry_ev_5","2worry_ev_6","2worry_ev_6_TEXT","careless_speed","speeder_flag","careless_longstr","careless_avgstr","careless_irv","careless_psychsyn_pairs","careless_psychsyn","careless_psychant_pairs","careless_psychant","careless_mahadD","careless_mahadflag","Evaluation","Evaluation_Why","Evaluation_Why_n","Dest","Charging","Time","Accident","Price","Support","Driving_Climate","EV_Attitude","Personality_neuro","Tech_Interaction","Dest_2","Charging_2","Time_2","Accident_2","Price_2","Support_2","framing"
"4","R_12523qA8JtqVpok",100,1230,1,"männlich",51,"(Fach-)Abitur","Voll berufstätig","5.000 - 20.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,2,"5.001 km bis 10.000 km","Täglich",1,5,3,1,2,8,7,4,6,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich habe keine Erfahrung mit E-Autos.",4,4,3,2,4,4,5,4,3,1,1,1,3,3,3,1,1,3,3,5,3,4,2,2,4,2,3,2,4,4,2,4,4,3,5,1,2,3,4,6,NA,1,NA,NA,6,3,6,1,1,1,2,1,4,3,1,3,1,1,1,1,4,3,5,1,2,3,2,2,3,3,2,2,3,2,2,2,3,4,2,3,3,2,3,2,1,5,4,6,NA,1230,FALSE,4,1.42,1.31530251422771,81,0.629627968794707,13,-0.106148978486855,0,FALSE,4.25,4.33333333333333,2.2,2.33333333333333,4,2.66666666666667,2.33333333333333,3.33333333333333,3.66666666666667,5.5,1.33333333333333,2.5,2.33333333333333,2.33333333333333,2.66666666666667,2.33333333333333,2,3,2.66666666666667,"positiv"
"13","R_1DZFFDRezKX6qMe",100,593,1,"männlich",21,"(Fach-)Abitur","Student:in","< 5.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",3,NA,"5.001 km bis 10.000 km","Mehrmals in der Woche",1,7,1,3,2,4,6,5,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich nutze aktuell ein E-Auto.",6,6,2,1,6,4,3,5,5,1,1,2,1,2,5,1,2,4,1,2,5,1,2,1,4,1,4,1,4,2,3,3,3,2,1,3,2,5,4,6,NA,1,NA,NA,6,1,6,1,1,1,2,4,5,4,3,4,5,3,5,5,2,4,3,5,2,3,1,1,4,1,2,2,5,1,4,1,4,3,3,4,3,4,1,3,2,5,4,6,NA,593,FALSE,3,1.18333333333333,1.63957273634443,81,0.830119021820449,13,-0.925456961849277,0,FALSE,5.75,4.83333333333333,2.2,2.33333333333333,2.66666666666667,2.33333333333333,2,3,2.66666666666667,6,1.33333333333333,3,4.55555555555556,2,2,3,2,3.33333333333333,3.66666666666667,"positiv"
"22","R_1i56ape93JvGihX",100,1089,1,"weiblich",45,"(Fach-)Abitur","Voll berufstätig","20.000 - 100.000 Einwohner:innen","PKW-Führerschein & Motorrad-Führerschein & Kraftfahrzeug-Führerschein","Seit mehr als 10 Jahren",1,3,"10.001 km bis 15.000 km","Täglich",1,2,1,6,5,7,3,4,8,NA,"Ich könnte ihre Funktionsweise im Detail erklären.","Ich nutze aktuell ein E-Auto.",6,6,2,1,5,6,5,5,4,1,1,1,1,1,3,1,1,5,1,1,5,1,2,2,3,1,2,1,3,2,2,2,2,2,1,3,4,5,2,6,NA,1,NA,NA,3,5,3,4,1,1,1,2,2,2,1,6,6,2,6,6,1,6,1,6,1,4,1,1,2,1,2,2,6,1,2,1,2,2,2,2,2,2,1,2,4,5,3,6,NA,1089,FALSE,7,1.54347826086957,1.82891430532759,81,0.91447060265797,13,-0.857989653235567,0,FALSE,5.75,5.16666666666667,1.4,2.33333333333333,2.33333333333333,2.33333333333333,1.33333333333333,2.33333333333333,2,2.75,1,3,5.88888888888889,2,1.33333333333333,3.33333333333333,1.33333333333333,2,2,"positiv"
"24","R_1ietMtwgzeg8l0n",100,1250,1,"männlich",28,"(Fach-)Hochschulabschluss","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,1,"5.001 km bis 10.000 km","Mehrmals in der Woche",1,3,2,7,5,4,6,1,8,NA,"Ich könnte ihre Funktionsweise im Detail erklären.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",5,5,2,2,6,6,5,4,2,2,4,3,3,3,4,2,2,5,2,2,4,2,3,2,3,1,6,4,4,4,4,4,4,4,2,1,4,5,3,6,NA,1,NA,NA,5,5,4,2,1,1,1,2,6,4,2,4,4,2,4,4,1,5,4,5,2,4,2,2,4,2,3,2,2,2,5,7,4,3,4,3,4,4,2,1,4,5,3,6,NA,1250,FALSE,6,1.42,1.43340796184937,81,0.449131961471122,13,-0.176139946914027,0,FALSE,5,4.66666666666667,3.4,3,2.66666666666667,2.66666666666667,3.66666666666667,4,4,4,1,2.5,4.44444444444444,2.66666666666667,2.66666666666667,2.33333333333333,4.66666666666667,3.66666666666667,3.66666666666667,"positiv"
"25","R_1jD1CM9QMQxdsda",100,1152,1,"männlich",46,"(Fach-)Hochschulabschluss","Teilweise berufstätig","20.000 - 100.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,2,"5.001 km bis 10.000 km","Täglich",2,2,5,7,6,3,1,4,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich habe keine Erfahrung mit E-Autos.",4,3,3,3,4,3,4,3,3,4,3,3,3,4,3,5,2,4,1,1,3,NA,2,2,4,3,3,2,3,3,2,2,1,2,3,4,2,6,5,1,"Entsorgung",1,NA,NA,5,4,3,3,3,4,2,4,4,4,3,2,2,5,2,2,4,4,4,3,2,3,2,3,3,3,2,2,3,3,2,2,2,2,2,2,1,2,3,4,2,6,5,1,"Entsorgunf",1152,FALSE,6,1.61363636363636,0.996156295833591,80,0.416637094569652,13,0.486561840100952,0,FALSE,3.75,3.33333333333333,3.2,2.33333333333333,2.33333333333333,2.66666666666667,2.66666666666667,2.66666666666667,1.66666666666667,3.75,3,3,2.55555555555556,2.33333333333333,3,2.33333333333333,2.33333333333333,2,1.66666666666667,"positiv"
"28","R_1K42mSlJXFxP4cn",100,1173,1,"weiblich",25,"(Fach-)Hochschulabschluss","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein & Motorrad-Führerschein","Zwischen 5-10 Jahren",2,NA,"bis 5.000 km","Mehrmals im Jahr",1,3,2,5,6,8,7,4,1,"125ccm Roller","Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",5,4,1,1,4,6,1,1,4,1,1,1,1,1,1,3,1,4,1,4,4,3,2,2,5,1,6,1,6,6,5,5,5,5,1,4,3,6,5,2,"Netzstabilität",1,NA,NA,3,2,1,5,1,1,1,3,1,4,2,5,5,2,5,5,1,6,2,4,1,4,1,3,2,3,2,2,7,1,5,1,5,5,4,4,4,5,1,4,3,6,5,2,"Netzstabilität",1173,FALSE,5,1.36538461538462,1.80956739622781,81,0.848134293443799,13,-0.793307901108396,0,FALSE,5.25,3.66666666666667,1,2,3.66666666666667,3,2.66666666666667,5.66666666666667,5,2.75,1,2.5,5.11111111111111,2,2.66666666666667,3.66666666666667,2.33333333333333,4.66666666666667,4.33333333333333,"positiv"
"29","R_1KcNtEUjazfXaeg",100,1369,1,"weiblich",43,"(Fach-)Abitur","Voll berufstätig","100.000 - 500.000 Einwohner:innen","Kraftfahrzeug-Führerschein","Seit mehr als 10 Jahren",1,3,"10.001 km bis 15.000 km","Täglich",2,8,2,4,3,1,5,7,6,NA,"Ich könnte ihre Funktionsweise im Detail erklären.","Ich nutze aktuell ein E-Auto.",6,6,1,1,5,6,6,6,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,3,3,3,4,2,5,1,6,NA,1,NA,NA,5,3,3,3,1,1,1,1,4,5,2,6,6,3,6,6,5,4,2,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,3,3,4,3,2,5,1,6,NA,1369,FALSE,18,2.53571428571429,1.87718127089781,81,0.904892314896622,13,-0.369592613242734,0,FALSE,6,5.33333333333333,1.6,1,1,1,1,2,3.33333333333333,4,1,2,5,1,1,1,1,2,3.33333333333333,"positiv"
"36","R_1luSo33odqMS2RK",100,1329,1,"männlich",23,"(Fach-)Hochschulabschluss","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",3,NA,"bis 5.000 km","Mehrmals im Jahr",2,1,2,6,5,4,7,3,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich bin einmal mit einem E-Auto gefahren.",5,5,4,1,3,4,4,3,3,3,5,4,2,4,3,3,2,5,2,5,4,5,2,2,5,2,5,2,4,3,2,3,2,2,3,2,1,5,4,6,NA,1,NA,NA,4,4,2,4,2,2,2,4,4,4,3,5,5,3,3,4,2,5,3,4,1,3,1,2,4,5,2,2,6,2,5,2,3,2,2,2,3,2,3,2,1,5,4,6,NA,1329,FALSE,3,1.26785714285714,1.24744044365071,81,0.493740209580655,13,-0.210042012604201,0,FALSE,4.75,3.5,3.6,3,4.66666666666667,3,3,3,2.33333333333333,3,2,3,4.33333333333333,1.66666666666667,3.66666666666667,3.33333333333333,3,2.33333333333333,2.33333333333333,"positiv"
"37","R_1LvrB3pfub3jfih",100,799,1,"keine Angabe",23,"(Fach-)Hochschulabschluss","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",2,NA,NA,"Noch seltener / nie",2,6,3,2,4,1,7,5,8,NA,"Ich habe keine Kenntnisse über Elektrofahrzeuge.","Ich habe keine Erfahrung mit E-Autos.",5,5,1,1,6,6,6,5,5,1,1,1,1,2,2,1,3,3,3,3,3,3,2,2,4,1,4,2,3,2,3,4,3,4,3,2,1,5,4,6,NA,1,NA,NA,6,1,6,1,2,1,4,4,4,3,4,1,2,6,3,1,5,2,5,2,3,3,3,4,3,3,3,3,5,2,4,2,4,3,4,4,3,4,3,2,1,5,4,6,NA,799,FALSE,6,1.47916666666667,1.52202600076278,81,0.809066602754973,13,-0.927861601920179,0,FALSE,5.5,5.66666666666667,1.4,3,3,2.66666666666667,2.33333333333333,2.66666666666667,3.66666666666667,6,2.33333333333333,4,1.77777777777778,3,3.33333333333333,3.66666666666667,2.66666666666667,3.66666666666667,3.66666666666667,"positiv"
"38","R_1LYe8d828WI02vp",100,935,1,"männlich",26,"(Fach-)Hochschulabschluss","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",1,2,"mehr als 20.001 km","Täglich",1,1,4,6,7,5,3,2,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich habe keine Erfahrung mit E-Autos.",4,4,5,4,5,5,1,2,4,1,1,4,1,3,1,3,2,4,2,5,4,5,4,4,4,4,5,4,4,4,3,3,3,2,4,1,2,5,3,6,NA,1,NA,NA,6,3,4,2,2,2,2,1,4,5,1,4,4,2,3,3,4,4,3,5,2,4,2,5,4,4,4,3,5,5,6,7,4,4,3,2,4,2,4,1,2,5,3,6,NA,935,FALSE,4,1.42,1.33715807533234,81,0.379112117567513,13,-0.0672786020572499,0,FALSE,3.25,3.83333333333333,2,2.66666666666667,4.66666666666667,4,4.33333333333333,3.66666666666667,2.66666666666667,4.75,2,1.5,3.88888888888889,2.66666666666667,4.33333333333333,4,6,3.66666666666667,2.66666666666667,"positiv"
